imo,ts,lat,lon,sog_kn,cog_deg
9700000,2025-08-23T09:17:56.218488Z,0.899,28.419,13.9,266.0
9700000,2025-08-23T10:17:56.218488Z,0.916,28.484,11.5,92.0
9700000,2025-08-23T11:17:56.218488Z,0.941,28.62,14.3,119.0
9700000,2025-08-23T12:17:56.218488Z,0.947,28.625,13.0,254.0
9700000,2025-08-23T13:17:56.218488Z,1.019,28.552,18.1,112.0
9700000,2025-08-23T14:17:56.218488Z,1.066,28.515,11.4,74.0
9700000,2025-08-23T15:17:56.218488Z,1.051,28.421,12.8,230.0
9700000,2025-08-23T16:17:56.218488Z,1.114,28.463,11.8,194.0
9700000,2025-08-23T17:17:56.218488Z,1.165,28.477,14.4,79.0
9700000,2025-08-23T18:17:56.218488Z,1.186,28.561,14.1,53.0
9700000,2025-08-23T19:17:56.218488Z,1.173,28.517,11.5,263.0
9700000,2025-08-23T20:17:56.218488Z,1.207,28.579,12.0,106.0
9700000,2025-08-23T21:17:56.218488Z,1.197,28.668,14.1,285.0
9700000,2025-08-23T22:17:56.218488Z,1.23,28.632,12.5,93.0
9700000,2025-08-23T23:17:56.218488Z,1.288,28.673,14.2,52.0
9700000,2025-08-24T00:17:56.218488Z,1.239,28.711,12.5,17.0
9700000,2025-08-24T01:17:56.218488Z,1.264,28.736,11.2,64.0
9700000,2025-08-24T02:17:56.218488Z,1.224,28.781,10.1,203.0
9700000,2025-08-24T03:17:56.218488Z,1.179,28.845,17.3,99.0
9700000,2025-08-24T04:17:56.218488Z,1.199,28.917,13.3,351.0
9700000,2025-08-24T05:17:56.218488Z,1.189,28.999,7.2,304.0
9700000,2025-08-24T06:17:56.218488Z,1.197,29.049,10.7,41.0
9700000,2025-08-24T07:17:56.218488Z,1.224,29.083,11.1,145.0
9700000,2025-08-24T08:17:56.218488Z,1.316,29.067,14.7,120.0
9700000,2025-08-24T09:17:56.218488Z,1.382,29.149,12.0,356.0
9700000,2025-08-24T10:17:56.218488Z,1.409,29.237,15.6,271.0
9700000,2025-08-24T11:17:56.218488Z,1.417,29.254,13.1,29.0
9700000,2025-08-24T12:17:56.218488Z,1.426,29.256,13.3,75.0
9700000,2025-08-24T13:17:56.218488Z,1.408,29.25,10.6,259.0
9700000,2025-08-24T14:17:56.218488Z,1.435,29.292,12.9,115.0
9700000,2025-08-24T15:17:56.218488Z,1.477,29.247,9.2,285.0
9700000,2025-08-24T16:17:56.218488Z,1.504,29.346,8.1,246.0
9700000,2025-08-24T17:17:56.218488Z,1.515,29.404,12.1,217.0
9700000,2025-08-24T18:17:56.218488Z,1.531,29.523,16.2,20.0
9700000,2025-08-24T19:17:56.218488Z,1.553,29.613,13.5,254.0
9700000,2025-08-24T20:17:56.218488Z,1.58,29.583,12.0,87.0
9700000,2025-08-24T21:17:56.218488Z,1.616,29.578,12.4,187.0
9700000,2025-08-24T22:17:56.218488Z,1.638,29.596,11.5,85.0
9700000,2025-08-24T23:17:56.218488Z,1.645,29.647,10.6,307.0
9700000,2025-08-25T00:17:56.218488Z,1.667,29.659,12.0,237.0
9700000,2025-08-25T01:17:56.218488Z,1.729,29.707,8.5,58.0
9700000,2025-08-25T02:17:56.218488Z,1.803,29.817,9.2,330.0
9700000,2025-08-25T03:17:56.218488Z,1.822,29.866,13.0,54.0
9700000,2025-08-25T04:17:56.218488Z,1.814,29.963,9.2,180.0
9700000,2025-08-25T05:17:56.218488Z,1.83,29.957,13.5,317.0
9700000,2025-08-25T06:17:56.218488Z,1.877,29.967,8.9,12.0
9700000,2025-08-25T07:17:56.218488Z,1.891,30.028,7.8,148.0
9700000,2025-08-25T08:17:56.218488Z,1.884,30.046,14.9,171.0
9700000,2025-08-25T09:17:56.218488Z,1.914,30.112,10.0,234.0
9700000,2025-08-25T10:17:56.218488Z,1.971,30.26,14.7,353.0
9700000,2025-08-25T11:17:56.218488Z,1.97,30.231,11.9,246.0
9700000,2025-08-25T12:17:56.218488Z,1.934,30.234,10.0,11.0
9700000,2025-08-25T13:17:56.218488Z,1.961,30.246,12.4,225.0
9700000,2025-08-25T14:17:56.218488Z,1.968,30.232,11.6,292.0
9700000,2025-08-25T15:17:56.218488Z,2.009,30.281,11.4,175.0
9700000,2025-08-25T16:17:56.218488Z,2.041,30.313,10.5,218.0
9700000,2025-08-25T17:17:56.218488Z,2.059,30.378,7.2,215.0
9700000,2025-08-25T18:17:56.218488Z,2.063,30.373,12.1,142.0
9700000,2025-08-25T19:17:56.218488Z,2.079,30.451,10.5,93.0
9700000,2025-08-25T20:17:56.218488Z,2.069,30.515,12.2,154.0
9700000,2025-08-25T21:17:56.218488Z,2.085,30.563,12.7,280.0
9700000,2025-08-25T22:17:56.218488Z,2.083,30.651,13.3,172.0
9700000,2025-08-25T23:17:56.218488Z,2.069,30.669,8.3,187.0
9700000,2025-08-26T00:17:56.218488Z,2.124,30.79,9.3,346.0
9700000,2025-08-26T01:17:56.218488Z,2.147,30.72,11.2,244.0
9700000,2025-08-26T02:17:56.218488Z,2.203,30.726,13.4,12.0
9700000,2025-08-26T03:17:56.218488Z,2.18,30.749,15.8,138.0
9700000,2025-08-26T04:17:56.218488Z,2.227,30.841,10.9,353.0
9700000,2025-08-26T05:17:56.218488Z,2.212,30.964,12.4,315.0
9700000,2025-08-26T06:17:56.218488Z,2.239,31.056,7.5,264.0
9700000,2025-08-26T07:17:56.218488Z,2.261,31.232,14.0,33.0
9700000,2025-08-26T08:17:56.218488Z,2.282,31.328,15.6,10.0
9700000,2025-08-26T09:17:56.218488Z,2.295,31.336,13.7,352.0
9700000,2025-08-26T10:17:56.218488Z,2.257,31.366,9.0,232.0
9700000,2025-08-26T11:17:56.218488Z,2.24,31.35,14.8,13.0
9700000,2025-08-26T12:17:56.218488Z,2.258,31.422,14.4,246.0
9700000,2025-08-26T13:17:56.218488Z,2.266,31.452,14.7,94.0
9700000,2025-08-26T14:17:56.218488Z,2.278,31.522,16.6,138.0
9700000,2025-08-26T15:17:56.218488Z,2.289,31.669,15.3,89.0
9700000,2025-08-26T16:17:56.218488Z,2.294,31.689,7.4,268.0
9700000,2025-08-26T17:17:56.218488Z,2.317,31.649,15.0,44.0
9700000,2025-08-26T18:17:56.218488Z,2.319,31.682,11.5,302.0
9700000,2025-08-26T19:17:56.218488Z,2.354,31.757,11.9,18.0
9700000,2025-08-26T20:17:56.218488Z,2.452,31.747,10.2,249.0
9700000,2025-08-26T21:17:56.218488Z,2.442,31.743,14.8,15.0
9700000,2025-08-26T22:17:56.218488Z,2.476,31.802,10.3,142.0
9700000,2025-08-26T23:17:56.218488Z,2.494,31.894,13.1,297.0
9700000,2025-08-27T00:17:56.218488Z,2.538,31.86,11.2,247.0
9700000,2025-08-27T01:17:56.218488Z,2.532,32.006,8.3,198.0
9700000,2025-08-27T02:17:56.218488Z,2.567,32.033,12.4,314.0
9700000,2025-08-27T03:17:56.218488Z,2.607,32.059,11.7,31.0
9700000,2025-08-27T04:17:56.218488Z,2.646,32.111,12.9,14.0
9700000,2025-08-27T05:17:56.218488Z,2.663,32.13,13.9,280.0
9700000,2025-08-27T06:17:56.218488Z,2.621,32.139,10.8,275.0
9700000,2025-08-27T07:17:56.218488Z,2.677,32.349,5.9,241.0
9700000,2025-08-27T08:17:56.218488Z,2.699,32.39,13.4,96.0
9700000,2025-08-27T09:17:56.218488Z,2.708,32.442,13.4,195.0
9700000,2025-08-27T10:17:56.218488Z,2.734,32.462,19.0,286.0
